category,location,name,phone
Cell phone store,"· 3rd Crossing, Ghee Walo Ka Rasta",R.K. Mobile,097999 77179
Cell phone store,"· Shop no 2, Ridhi Sidhi Circle","Shree Shyam Sales - Best Mobile Shop, Motorola Store",070624 78555
Cell phone store,"· SHOP NO 1,2, OPPSITE MPS SCHOOL, 3",Raj Rishi,085609 99666
Cell phone store,"· Ground floor, ganpati plaza, shop no.G, 26 27, Mirza Ismail Rd",Shree Mobile Store,095094 91056
Cell phone store,"· 1638, Baba Harishchandra Marg, opp. Raisar Plaza",Meenakshi Mobile,098290 69685
Cell phone store,"· 392, Fashion St","Sing-N-Smile Best Mobile, Speakers & Gadgets Store of Jaipur",098295 99310
Cell phone store,· ,Anant Electronics,077260 77261
Cell phone store,"· 38/3, Kiran Path",Shivay mobile,099290 94574
Cell phone store,· ,MOVE N TALK,088243 77777
Cell phone store,· near National Handloom,KAPIL Mobile,099297 67633
Cell phone store,"· Shop 132-133, near Parnami Mandir",Sukhija Traders,N/A
Cell phone store,"· Saraogi Mansion, Bapu Bazaar",Golani Enterprises,098280 17769
Cell phone store,· ,Satyam Electronics,098295 44565
Cell phone store,"· 162/3, Nilanchal Complex",Khunteta Mobile Point,095298 58585
Cell phone store,"· 220/1, 220/2, Raja Park Road",Sai Telecom,096603 30510
Cell phone store,· madhav mobile Sector 9,Madhav Mobile Malviyanagar,097828 85566
Market,· ,Johri Bazar,N/A
Cell phone store,"· No 123, Crystal Palm Mall Sardar Patel Marg, 22 Godam Cir",Samsung Experience Store - Tejas Mobile Gallery - Crystal Palm Mall,0141 403 0256
Cell phone store,"· G28,29, Raisar Plaza, <indra bazzar, near, Indira Bazar Rd, near police choki, near Baba Harishchandra Marg",Ashoka Mobile,098290 44460
Cell phone store,"· 179, KGB Ka Rasta",Kapil Traders,N/A
Cell phone store,"· Luharon ki gali, Chaura Rasta Rd",Mobile Shop in Jaipur - Mukesh Mobile,098288 97776
Cell phone store,· ,SUNNY ELECTRONICS,098290 66000
Cell phone store,"· Shop No, 291, Galta Rd",Raj Mobile Shop,094144 43150
Cell phone store,"· GANPATI PLAZA, Ganpati plaza B 19 Basement G.P. Bazaer Ganpati Plaza, Mirza Ismail Rd",Robin Mobile Accessories,088822 24005
Cell phone store,"· 10/32, Swarn Path, opposite Bajrang Juice",Vanshikaa Enterprises (Mobile Showroom),098293 78777
Cell phone store,"· Shop No 20, JDA Market Near Burger Farm, Opp. Jaipur Electronic Market, Ridhi Sidhi Chouraha","Mobile Station, the best Mobile Ki Dukan",077930 40006
Cell phone store,"· VRR5+7X6, Janta Store Cir",Mannat Mobile Shop,098298 88864
Cell phone store,"· Raghu Vihar Extension, 33 B -1, Patrakar Colony Rd",Mr. Mobile,090241 61689
Cell phone store,· ,Agarwalas telepoint Shop Mobile Store,093145 01900
Mobile phone repair shop,· ,"Abhyudaya Enterprises,jaipur, Expert Mobile Repairing Jaipur,",094626 12200
Cell phone store,"· Shop no 67, 61, Ajmer Rd, opp. Metro Pillar no, near Anupam Store",MJS MOBILES,088752 27755
Cell phone store,"· Shop No 1, Kamal Complex, Mirza Ismail Rd","Poojara Telecom, MI Road, Jaipur",098280 21000
Cell phone store,· Sanganer Thana Flyover,New Jaipur Mobile,N/A
Cell phone store,· ,Mr mobile & repairing center,097822 21793
Cell phone store,"· Ganpati Plaza, B-116(N),Basement, Mirza Ismail Rd",Shree RadhakrishnaM Mobiles,088904 27441
Cell phone store,"· A, 17, Jagatpura Rd",Tara Communication,N/A
Cell phone store,"· Shop No 47, Shree Balaji Market, Jagdamba Nagar Rd",SHREE BALAJI MOBILE 📱,099508 28588
Cell phone store,"· Shop No. :- SH 12, Lower Shopping, GANPATI PLAZA, Mirza Ismail Rd",Moosewala communication,099292 14400
Cell phone store,"· 25, Galta Rd",Pink City Mobile,N/A
Cell phone store,· ,Bagra Mobile Point,089558 51234
Cell phone store,"· Shop No.149, Shanti Path, Opp. Devi Ka Mandir, Raja Park",Amrita Mobiles,099299 57957
Cell phone store,"· PLOT NO 147C SHOP.3,RAM GALI NO.2 PANCHWATI CIRCLE, NEAR, Bhatia Hospital Marg",THE CELLPHONE SHOPPE,094610 47077
Cell phone store,"· 1/478-A,main chitarkoot, road chitrkoot, opp. ICICI Bank Ltd.,Hyderabad - Nanakramguda",Om enterprises a complite mobile shop,099282 41234
Cell phone store,"· Shop No 255 Champa Nagar Near Kirti School Gujar Ki Thadi Jaipur, New Sanganer Rd",Ramdev Mobile Shop Accessories And repairing,073748 62340
Cell phone store,"· Plot No.352B, Gali Number 2",✅Ashoka Mobile | Best Mobile Shop in Jaipur,098290 44460
Cell phone store,"· S-3, Madhyam Marg, opp. sharda hospital",Smart Digital,072789 99666
Cell phone accessory store,"· 11/29, Shop, no 2, Girdhar Marg, near Girdhar Hospital",The Mobile Village,093514 99999
Cell phone store,· Shop no.14,Disha Communication,097822 07352
Cell phone store,"· Shop No-58, Kishanpole Bazar Rd",Bakliwal Traders (Mobile store),098295 44485
Mobile network operator,"· 1651, Baba Harishchandra Marg, near Raisar Plaza",Jaipur Mobile Repair & Accessories,083028 07533
Cell phone store,"· 43-44, Sanga Setu Rd, near BABAJI KI HAVELI KA RASTA",Divya Sanchar,093521 11123
Cell phone store,· Triveni Nagar Rd,Payal Mobile Point,075685 30066
Cell phone store,"· Tonk Rd, opp. Sanghi Farm",The Mobile Shopee,096606 68717
Cell phone store,"· C 7, Tonk Road, Gandhi Nagar",Astel Systems - Best Mobile Shop( Mobile Ki Dukan) in Jaipur,098280 12200
Cell phone store,"· Shop no.3, 266, bada bazar",Maruti mobile accessories,080031 77926
Cell phone store,· ,Jaipur Mobiles,N/A
Cell phone store,· ,Solanki Mobile,085610 68686
Cell phone store,"· lower shopping center, GANPATI PLAZA, A-44, Mirza Ismail Rd",Smart mobile zone,N/A
Cell phone store,"· 62, Vijay Path",Mahendra Mobile,N/A
Cell phone store,"· 162, 7",The Smart Phone Zone,090244 88646
Cell phone store,"· Lower Shopping Center, GANPATI PLAZA, B-122, Mirza Ismail Rd",Smart Point Mobile & Accessories Store,095874 25000
Cell phone store,"· Ashoka Mobiles, Raisar Plaza",Mobile Shop,098290 44460
Cell phone store,"· Shop No. 37, Shopping Center, Rajat Path",Daksh Mobile Shop,094145 64664
Cell phone store,"· 30/15/01, Swarn Path",D.M. Mobile World,098296 10164
Cell phone store,"· Shop G, 44Raisar Plaza, Kishanpole Bazar Rd",Ramdev mobile accessories jaipur,081045 26861
Cell phone store,"· near PINJRAPOLE GOUSALA, 55, Sheopur Rd",SHREE SHYAM EMITRA AND MOBILE REPARING,080033 33718
Cell phone store,"· Shop No 2 /21, 102/94, Meera Marg",Seeta's The Mobile Funda,097854 24416
Cell phone store,"· Shop No -9, Mirza Ismail Rd, below Hotel Radha Palace, opp. GANPATI PLAZA","Cashify Mobile Phone Store | Buy, Sell & Repair in MI Road Jaipur",080 4680 8822
Cell phone store,· ,ARCO COMMUNICATION ( Mobile Phone Store ),098298 10013
Cell phone store,"· Shop no LG 01, Jaipur Electronic Mall Ridhi Siddhi Road",Brothers Mobile,099503 29419
Cell phone store,"· Shop No-A, 13, opp. Mehta Book House",Krishna Enterprises,093514 87715
Cell phone store,"· No E16, Chandra Tower, Gautam Marg, near Near Kalyan Jewellers",Samsung Experience Store - Digital Retails - Vaishali Nagar,073406 60167
Cell phone store,"· Shop No. 36, Nagar Nigam Market",Shree Mobile Communication & Repairing,082337 27283
Cell phone store,"· F-192, Mithila Path",Shri Shyam mobile repairing & accessories,070738 35741
Cell phone store,· Shop No. 123,Taneja Computer & Mobile Point,093513 31999
Cell phone store,"· S.No.23, S-A-1, Kirti Marg, Tonk Rd",Yashika Mobile Gallery,098291 92692
Cell phone store,"· Shop No:63, Prajapati Market, Tonk Road",Ashoka Electronics & Mobile Point,098282 82945
Cell phone store,· Chitrakoot Marg,GLORY MOBILE,096644 86802
Cell phone store,"· Shop no, 290, Galta Rd",Phone walas,N/A
Cell phone store,"· D2 & D3, GANPATI PLAZA, Mirza Ismail Rd, behind Airtel Office",EDGE Mobile - Sell & Buy Old Mobile,073000 08980
Cell phone store,"· shop no 2, 80/16, Kumbha Marg",TOMHUNT A Mobile Gallery,099831 51078
Cell phone store,"· Plot No 56/06, Rajat Path, near SBI Bank",Samsung Experience Store - SS Associates - Mansarovar,098280 31733
Cell phone store,"· Poonam market, 62, Sirsi Rd",Rajasthan Telecom,N/A
Mobile phone repair shop,· ,"Amit Mobile Technician, Jaipur Rajasthan,Best Mobile Repairing, Apple, Google Pixel, OnePlus, Samsung Z fold3, Fold, Filp 3",095296 85614
Cell phone store,"· 4, New Sanganer Rd, opposite Metro Pillar No 107",Samsung Experience Store - S & S Corporation - Ganesh Nagar,098874 40146
Cell phone store,· 295,SWAPNLOK,0141 405 2626
Cell phone store,"· shop _b8, Raisar Plaza, indira market",mobile accessories and repairing center,097834 48025
Cell phone store,"· Gupta International Building, Mirza Ismail Rd, near Lakshmi Complex",Samsung Experience Store - Digital Retails - MI Road,098292 59498
Cell phone store,"· A-7, 80 Feet Rd",Shree Mobiles,N/A
Electronics store,"· RRP8+68J, Unnamed Road",Unique Mobile Store,077909 14288
Cell phone store,· 54-C,Gourav Communication,093514 99977
Cell phone store,"· Shop no.3, goutam marg croosing, Kings Rd",MOBILE WORLD,098280 66681
Cell phone store,"· 186, 187, Arya Samaj Rd",Satguru Communications,098291 15002
Cell phone store,· Mahal Rd,Dev Mobile,070626 27562
Cell phone store,"· World Trade Park, Jawahar Lal Nehru Marg, near Shoppers Stop",Samsung Experience Store - Digital Retails - Malviya Nagar,070734 74632
Cell phone store,"· Shop no . 59A, GANPATI PLAZA",Rahul Enterprises,N/A
Cell phone store,"· S-5, Mirza Ismail Rd, near Rajmandir Cinema Hall",Mobile Mart,077376 29577
Cell phone store,"· Shop Number-B, Ganpati Plaza, 8 Basement, Mirza Ismail Rd",GALAXMIAL PREDERA COMMUNICATION PVT LTD,090014 63025
Grocery store,"· 357, Johari Bazar Rd",Sabzi mandi johri bazar Jaipur,N/A
Cell phone store,"· No H 31, Chandraheera Building, Mirza Ismail Rd, near Golden Tulip Hotel",OnePlus Experience Store,0141 408 7712
Cell phone store,"· Ground floor, D-34, Gaurav Tower Marg, near S.B.I. Bank ATM",Smart Solutions,098281 54556
Cell phone store,"· GT Central, Jawahar Lal Nehru Marg",OnePlus Exclusive Store,090018 88604
Cell phone store,"· Shop No 5-6 Pillor no 105, 106, New Sanganer Rd","Cashify Mobile Phone Shop | Buy, Sell & Repair in Sodala Jaipur",080 4680 8947
Cell phone store,· WQ49+VRR,Balaji mobile shop,N/A
Cell phone store,"· WQ9X+GQ7, Jaipur mi road Ganpati plaza",P-10 Mobile Shop No 14-15,0141 411 0670
Dry Fruit Store,"· 335-336, Johari Bazar Rd",Imliwala Pansari,098290 13363
Cell phone store,· ,Kanha Communication,098293 04898
Cell phone store,"· 3 B-23, near MAHESHWARI PUBLIC SCHOOL",SOUM - Second Hand(Used) & Demo Mobiles,098293 00040
Cell phone store,· ,Tadkeshwer Mobile Showroom,095718 40062
Cell phone store,"· WR9F+3FF, Dhula House Rd",Singh Communication,090010 00951
Cell phone store,"· Shop no.75, Shopping Centre, near Kanwatia Circle",R.R Mobiles,078915 07702
Cell phone store,· ,Kesari Mobile Point,094133 23160
Cell phone store,"· shop no 43.Road No.1 near pink city hospital, B-12",Rama Telecom,099294 12340
